"","id","true value","MSM U included","MSM U excluded","SF method","BSA: time varying","BSA: time fixed"
"152",152,-10.264034025685,-10.1967086765763,-11.1181634000266,-10.2355278150757,-10.7834370640648,-11.2147943390811
"153",153,-10.2749578249108,-11.2227075620559,-12.3372210741653,-11.390035267123,-10.823143776725,-11.4712039624705
"154",154,-10.2795531916689,-11.0576619257214,-11.8548819644482,-10.8759391159919,-10.9816438911174,-11.4597674498744
"155",155,-10.263402082637,-9.79412545115065,-11.0703746780087,-10.2888180490937,-9.47739138819471,-11.0031749521843
"156",156,-10.2733114590806,-9.82610021319435,-10.7342088584289,-9.95779526954544,-10.1984589695229,-10.5806901738825
"157",157,-10.2739910615762,-10.9433537700629,-11.9550946589155,-10.9113529533208,-10.4868542702709,-11.2480878677758
"158",158,-10.2660717944173,-9.78709112145522,-10.9531913700762,-10.1855790343961,-9.5578058111197,-10.7316763330974
"159",159,-10.2712761837625,-10.6209482483968,-11.6828596489375,-10.6706812498964,-10.3143187606085,-11.0639416879605
"160",160,-10.2712742707155,-9.90172251929948,-11.9687191222302,-10.9836800317586,-10.8870160475567,-11.314573351578
"161",161,-10.2682509273351,-9.69709102883557,-10.9352095480927,-9.94605792922211,-8.7405292959985,-9.18845761074229
"162",162,-10.2675307676604,-10.3466147002784,-11.5053907731538,-10.6946646164951,-10.463194153701,-10.9179802537102
"163",163,-10.2581754333981,-8.91821087540256,-10.5088096258367,-9.81712864946847,-10.2142156064299,-9.82287465169158
"164",164,-10.2706107335922,-10.1806186398124,-11.4689448868568,-10.5222542822059,-10.4862659685312,-11.0069441386602
"165",165,-10.2757481423834,-9.88120222584512,-11.7142919150789,-10.8105011880966,-10.4833389998895,-11.2921069050158
"166",166,-10.2704705972791,-11.1144067494137,-11.9176750494227,-11.1114302242915,-9.15668308273723,-10.715594241667
"167",167,-10.2746923854035,-11.1254747346566,-12.1483630321995,-10.9411409295328,-8.28971186729209,-8.51046753444198
"168",168,-10.2675254753322,-10.7230614523373,-11.80317220214,-10.9345910387334,-9.44244888211258,-10.9318109746046
"169",169,-10.266994041797,-10.2701706386669,-11.3331511140902,-10.4816731365611,-9.87447340336325,-11.0691184885871
"170",170,-10.2754669113031,-10.6517214460212,-12.2306854369431,-11.3018886978959,-10.4481317606852,-10.7218309146082
"171",171,-10.2637936282796,-8.7747298695787,-10.0878360221506,-9.61655383075613,-8.92426844794933,-8.97298737448629
"172",172,-10.2641491170431,-10.0963935831677,-12.4241071692513,-11.0541627007907,-9.05674864041434,-10.8867381013261
"173",173,-10.2771954994361,-9.72442037697343,-11.1301470151731,-10.3818066189361,-9.49833402017457,-10.5147907235356
"174",174,-10.2707489926173,-10.4600575818508,-11.7101728715412,-11.0121400020996,-10.3606794223049,-11.2418196406824
"175",175,-10.2645721434974,-10.1183625020032,-11.408099946693,-10.4546264010985,-10.5378346346243,-10.9564548747575
"176",176,-10.2782733553479,-10.8485438265333,-12.1902312273827,-11.3718198086944,-9.38112771069816,-9.10530379828077
"177",177,-10.2712284256509,-10.2283867700885,-11.3809203895633,-10.6578159257166,-10.061546086868,-10.7939454252159
"178",178,-10.2822601094924,-10.4758964881004,-11.2775539040286,-10.4785106326001,-9.13000624576407,-10.481330975167
"179",179,-10.2468993267385,-10.6218063212273,-11.3766867122464,-10.5254783606121,-9.5820004719945,-11.0271091876668
"180",180,-10.2695733138361,-10.1934906053049,-11.171939135042,-10.1282259633681,-10.8543353280024,-10.8814975732696
"181",181,-10.2739956869527,-9.82950188185437,-11.2853344402743,-10.4512740851627,-10.6065620273555,-10.7453645807721
"182",182,-10.2688558595927,-9.57899207764659,-10.4187327338929,-9.53392395423576,-8.69607202805167,-9.73367173200366
"183",183,-10.2749059900179,-10.4983368309716,-12.1039936533103,-11.444557849202,-9.8539702707541,-11.7676294924043
"184",184,-10.2683391339982,-10.2884688639637,-10.985392298664,-10.24388330972,-9.6733400798416,-10.507455156161
"185",185,-10.2624689967526,-11.1654807545042,-12.2171707282945,-11.1026750452388,-10.1048080516552,-11.4035896246786
"186",186,-10.2616999866407,-10.1410379814362,-11.7947741063255,-11.0210787649484,-9.0065807961151,-9.20923257655241
"187",187,-10.2626159269594,-9.15789260797633,-9.87294320046731,-9.49127248521764,-10.2913325577282,-10.1459108543238
"188",188,-10.2636113981628,-11.4589851458191,-12.6273809887601,-11.5662645356285,-11.8769847058722,-11.9729479302438
"189",189,-10.2830525162591,-9.20607150578951,-10.7448965733129,-10.0120282512608,-8.76535198685272,-10.1160137953022
"190",190,-10.2678581086844,-7.77764195093416,-10.4747041181763,-9.91925963487695,-10.0815346760703,-9.99759897511619
"191",191,-10.2588444797192,-10.6729460904433,-11.8130053957547,-10.820121647478,-9.39190815421904,-10.960080114378
"192",192,-10.2770675557314,-10.4901153716844,-11.5198463356479,-10.6042812402439,-10.5901649187808,-10.7461697510027
"193",193,-10.2822257556935,-9.77344394999939,-10.1021899322884,-9.57930132663325,-8.56442693527919,-8.62305693844422
"194",194,-10.2677702412551,-11.4719533373314,-12.383568190918,-11.3465335112119,-11.1034617001085,-11.5847702863372
"195",195,-10.2780037357807,-10.0603386240367,-11.2815557385606,-10.378818233923,-8.89489330668418,-10.0592755935747
"196",196,-10.2751261571437,-10.4280771402107,-11.4103749461342,-10.3961296809112,-9.44513015156248,-9.82145867254695
"197",197,-10.2646842138372,-8.89695977185133,-10.1171620376557,-9.55793154737936,-8.37386498755305,-9.34435830759814
"198",198,-10.2760802897608,-9.25232619832593,-10.6514781696419,-9.99378757066982,-9.47281368758751,-10.3254365599488
"199",199,-10.2721642888604,-10.2777202338512,-11.598002106808,-10.5570928252389,-9.76422949711204,-10.5275269809099
"200",200,-10.2712649352856,-10.7081246822747,-12.199322331509,-11.1454173868734,-10.7334510114253,-11.5503034645601
"201",201,-10.2786201239469,-10.9163669830648,-11.8450244560948,-10.7611718553944,-10.0754552794146,-11.1637177498377
"202",202,-10.2758933308604,-9.63198236201476,-11.1159494295321,-10.3479399721166,-10.5103318090815,-11.0578386535753
"203",203,-10.2821263827774,-9.04876836792985,-10.8627735355698,-10.0834768539652,-10.0616952667402,-9.64318916872073
"204",204,-10.2698255645794,-10.1969362936244,-11.6638374230775,-10.737992658132,-10.3515740755955,-10.8843707074835
"205",205,-10.2738571358099,-9.41409809138864,-11.2978440164523,-10.513294313413,-7.81659826915241,-10.6648245366648
