"","True Value","MSM with U","MSM without U","SF (MSM)","SF (BMSM)","SF (MSM, h=2)","SF (BMSM, h=2)","BSA time varying","BSA constant"
"103",-10.2617177626766,-10.123464989621,-11.5720206365063,-10.5232316343861,-10.5368268744719,-10.4778934907308,-10.4952262276744,-8.43647333872278,-10.2353807117429
"104",-10.2627312693254,-10.555920431764,-11.8250621265638,-10.4993075119402,-10.493786411669,-10.4974572552348,-10.4343677420208,-10.6842638574462,-11.5133961747906
"105",-10.2679748237444,-10.5972218380528,-11.9398208943443,-10.706073289271,-10.7466616061167,-10.6673527007886,-10.6520790745722,-7.46642652095868,-8.90380077179099
"106",-10.2636567624257,-10.4261803894363,-11.8139269486105,-10.6785056469747,-10.6553935172634,-10.6466456645445,-10.5531192507162,-9.25343956259809,-9.10706575787791
"107",-10.2606211184805,-10.7799727098342,-12.2297233255091,-10.9346833982092,-10.9076122909693,-10.9704022623698,-10.956522164748,-9.44899706630383,-11.2674047492847
"108",-10.2723276406302,-11.2013839249057,-12.3743923653753,-11.1698728771761,-11.0797443291104,-11.1410419317807,-10.9892479932945,-10.8452666204968,-11.1757572590723
"109",-10.2618294761824,-10.8681666149345,-11.972355374398,-10.6894461817336,-10.7227588815837,-10.7049920031896,-10.76255341638,-9.82713858378113,-11.0520762719096
"110",-10.2625235861635,-11.30092750973,-12.4375818447899,-10.7775010375474,-10.7741176543652,-10.7824951037524,-10.8056973507654,-9.96795843269781,-10.1937352214978
"111",-10.2666376506258,-9.86371581819644,-11.1973144285401,-10.0002139322726,-10.0341532988357,-10.0226758440248,-10.0657595543563,-9.46556799934441,-9.85010831113163
"112",-10.2561988987799,-10.5119897362422,-11.1408091058223,-10.0158108540825,-10.0162164318378,-9.96717748405804,-9.97756322991503,-8.36902042361031,-9.73804570293286
"113",-10.2639373998797,-10.2216942981349,-11.2248229386538,-10.033474985368,-10.074742809732,-10.0730573022087,-10.1393908880887,-9.39427716963798,-10.2771355241503
"114",-10.2657785154477,-10.2551278056636,-11.1597382106502,-9.94545810031604,-9.96153494094749,-9.95643554937177,-9.98240871101951,-8.88763367418341,-9.79635689986042
"115",-10.2736443820173,-10.95992146231,-11.8975052242084,-10.6336741168862,-10.5993104690753,-10.5748129088036,-10.5242271981921,-10.2726128628238,-10.730198940806
"116",-10.2659497129241,-9.28426891550568,-10.6706210507227,-9.67721884033472,-9.74502419442309,-9.68662152515957,-9.78711063238092,-9.6360129563581,-10.4599189919591
